"Team","FirstName","LastName","Nationality","DateOfBirth","Age","CountryOfBirth","PlaceOfBirth","Position","Height","Weight"
"Mexico","Rogelio Alfredo","Chavez Mart<U+00ED>nez","Mexico",1984-10-28,29,"Mexico","Tula, Hidalgo. ","Defender",172,70
"Mexico","Jos<U+00E9> Andr<U+00E9>s","Guardado Hern<U+00E1>ndez","Mexico",1986-09-28,27,"Mexico","Guadalajara","Defender",169,60
"Mexico","Jorge Emmanuel","Torres Nilo","Mexico",1988-01-16,26,"Mexico","Tijuana","Defender",180,76
"Mexico","H<U+00E9>ctor Alfredo","Moreno Herrera","Mexico",1988-01-17,26,"Mexico","Culiac<U+00E1>n","Defender",185,81
"Mexico","Diego Antonio","Reyes Rosales","Mexico",1992-09-19,21,"Mexico","Ciudad de M<U+00E9>xico","Defender",189,68
"Mexico","Luis Arturo","Montes Jim<U+00E9>nez","Mexico",1986-05-15,28,"Mexico","Cd. Ju<U+00E1>rez","Midfielder",166,66
"Mexico","Miguel <U+00C1>ngel","Ponce Brise<U+00F1>o","Mexico",1989-04-12,25,"USA","Sacramento","Midfielder",176,80
"Mexico","Jes<U+00FA>s Eduardo","Zavala Casta<U+00F1>eda","Mexico",1987-07-21,26,"Mexico","Monterrey","Midfielder",190,74
"Mexico","Juan Carlos","Medina Alonso","Mexico",1983-08-22,30,"Mexico","Torre<U+00F3>n","Midfielder",170,71
"Mexico","Carlos Alberto","Pe<U+00F1>a Rodr<U+00ED>guez","Mexico",1990-03-29,24,"Mexico","Ciudad Victoria","Midfielder",175,76
"Mexico","Carlos Arnoldo","Salcido Flores","Mexico",1980-04-02,34,"Mexico","Ocotl<U+00E1>n","Midfielder",176,75
"Mexico","Javier Ignacio","Aquino Carmona","Mexico",1990-02-11,24,"Mexico","Oaxaca","Midfielder",168,59
"Mexico","H<U+00E9>ctor Miguel","Herrera L<U+00F3>pez","Mexico",1990-04-19,24,"Mexico","Tijuana","Midfielder",180,74
"Mexico","Jos<U+00E9> Juan","V<U+00E1>zquez G<U+00F3>mez ","Mexico",1988-03-14,26,"Mexico","Celaya","Midfielder",166,68
"Mexico","Marco Jhonfai","Fabi<U+00E1>n De La Mora","Mexico",1989-07-21,24,"Mexico","Guadalajara","Attacker",171,70
"Mexico","Alan","Pulido Izaguirre","Mexico",1991-03-08,23,"Mexico","Cd. Victoria, Tamaulipas.","Attacker",175,68
"Mexico","Isa<U+00E1>c","Brizuela Mu<U+00F1><U+00F3>z","Mexico",1990-08-28,23,"Mexico","Lagos de Moreno","Attacker",173,68
"Mexico","Ra<U+00FA>l Alonso","Jim<U+00E9>nez Rodr<U+00ED>guez","Mexico",1991-05-05,23,"Mexico","Tepeji del R<U+00ED>o Ocampo","Attacker",185,76
"Mexico","Cuauht<U+00E9>moc","Blanco Bravo","Mexico",1973-01-17,41,"Mexico","M<U+00E9>xico D.F.","Attacker",177,70
"Mexico","Oribe","Peralta Morones","Mexico",1984-01-12,30,"Mexico","Torre<U+00F3>n","Attacker",180,72
"Mexico","Jes<U+00FA>s Aldo","de Nigris Guajardo","Mexico",1983-07-22,30,"Mexico","Monterrey","Attacker",181,85
"Mexico","Giovani","dos Santos Ram<U+00ED>rez","Mexico",1989-05-11,25,"Mexico","Monterrey","Attacker",174,71
"Mexico","Javier","Hern<U+00E1>ndez Balc<U+00E1>zar","Mexico",1988-06-01,26,"Mexico","Guadalajara","Attacker",175,62
"Mexico","Rodolfo Gilbert","Pizarro Thomas","Mexico",1994-02-15,20,"Mexico","Tampico","Attacker",175,71
"Cameroon","Charles-Hubert","Itandje","Cameroon",1982-11-02,31,"France","Bobigny","Goalkeeper",193,90
"Cameroon","Guy Rolland","N'Dy Assemb<U+00E9>","Cameroon",1986-02-28,28,"Cameroon","Yaound<U+00E9>","Goalkeeper",185,79
"Cameroon","Sammy","Ndjock","Cameroon",1990-02-25,24,"France","Yaounde","Goalkeeper",NA,NA
"Cameroon","Lo<U+00EF>c Maxime","Feudjou Nguegang","Cameroon",1992-04-14,22,"Cameroon",NA,"Goalkeeper",182,NA
"Cameroon","Beno<U+00EE>t","Assou-Ekotto","Cameroon",1984-03-24,30,"France","Arras","Defender",178,70
"Cameroon","Aur<U+00E9>lien Bayard","Chedjou Fongang","Cameroon",1985-06-20,28,"Cameroon","Douala","Defender",184,86
"Cameroon","Ga<U+00EB>tan","Bong Songo","Cameroon",1988-04-25,26,"Cameroon","Sakbayeme","Defender",183,74
"Cameroon","Nicolas Alexis Julio","N'Koulou N'Doubena","Cameroon",1990-03-27,24,"Cameroon","Yaound<U+00E9>","Defender",180,77
"Cameroon","Allan Romeo","Nyom","Cameroon",1988-05-10,26,"France","Neulli-sur-Seine","Defender",186,81
"Cameroon","Henri","Bedimo Nsam<U+00E8>","Cameroon",1984-06-04,30,"Cameroon","Douala","Defender",180,80
"Cameroon","Dany Achille","Nounkeu Tchounkeu","Cameroon",1986-04-11,28,"Cameroon","Yaound<U+00E9>","Defender",184,85
"Cameroon","Jo<U+00EB>l Job","Matip","Cameroon",1991-08-08,22,"Germany","Bochum","Defender",193,88
"Cameroon","Jean-Armel","Kana-Biyik","Cameroon",1989-07-03,24,"France","Metz","Defender",183,90
"Cameroon","Macky Frank","Bagnack Mouegni","Cameroon",1995-06-07,19,"Cameroon","Yaound<U+00E9>","Defender",182,75
"Cameroon","Cedric","Djeugoue","Cameroon",1992-08-28,21,"Cameroon",NA,"Defender",NA,NA
"Cameroon","Landry Joel Tsafack","N'Gu<U+00E9>mo","Cameroon",1985-11-28,28,"Cameroon","Yaound<U+00E9>","Midfielder",173,70
"Cameroon","St<U+00E9>phane","M'Bia Etoundi","Cameroon",1986-05-20,28,"Cameroon","Yaound<U+00E9>","Midfielder",189,82
"Cameroon","Jean II","Makoun","Cameroon",1983-05-29,31,"Cameroon","Yaound<U+00E9>","Midfielder",173,69
"Cameroon","Alexandre Dimitri","Song-Billong","Cameroon",1987-09-09,26,"Cameroon","Douala","Midfielder",180,76
"Cameroon","Eyong Tarkang","Enoh","Cameroon",1986-03-23,28,"Cameroon","Kumba","Midfielder",182,70
"Cameroon","Raoul C<U+00E9>dric","Lo<U+00E9>","Cameroon",1989-01-31,25,"France","Courbevoie","Midfielder",192,83
"Cameroon","Samuel","Eto'o Fils","Cameroon",1981-03-10,33,"Cameroon","N'kon","Attacker",180,75
"Cameroon","Pierre Achille","Web<U+00F3> Kouamo","Cameroon",1982-01-20,32,"Cameroon","Bafoussam","Attacker",180,78
"Cameroon","Mohammadou","Idrissou","Cameroon",1980-03-08,34,"Cameroon","Yaound<U+00E9>","Attacker",191,85
"Cameroon","Jean-Eric Maxim","Choupo-Moting","Cameroon",1989-03-23,25,"Germany","Hamburg","Attacker",190,84
"Cameroon","Benjamin","Moukandjo Bil<U+00E9>","Cameroon",1988-11-12,25,"Cameroon","Douala","Attacker",180,74
"Cameroon","Vincent Pat<U+00E9>","Aboubakar","Cameroon",1992-01-22,22,"Cameroon","Garoua","Attacker",178,78
"Cameroon","Edgard Nicaise Constant","Salli","Cameroon",1992-08-17,21,"Cameroon","Garoua","Attacker",163,NA
"Cameroon","Jean Marie","Dongou Tsafack","Cameroon",1995-04-20,19,"Cameroon","Douala","Attacker",173,78
"Cameroon","Fabrice","Olinga Essono","Cameroon",1996-05-12,18,"Cameroon","Douala","Attacker",172,66
"Spain","Iker","Casillas Fern<U+00E1>ndez","Spain",1981-05-20,33,"Spain","M<U+00F3>stoles","Goalkeeper",182,86
"Spain","Jos<U+00E9> Manuel ","Reina P<U+00E1>ez","Spain",1982-08-31,31,"Spain","Madrid","Goalkeeper",188,92
"Spain","V<U+00ED>ctor","Vald<U+00E9>s Arribas","Spain",1982-01-14,32,"Spain","L'Hospitalet de Llobregat","Goalkeeper",183,78
"Spain","David","De Gea Quintana","Spain",1990-11-07,23,"Spain","Madrid","Goalkeeper",192,82
"Spain","Sergio","Ramos Garc<U+00ED>a","Spain",1986-03-30,28,"Spain","Sevilla","Defender",183,81
"Spain","Juan Francisco","Torres Bel<U+00E9>n","Spain",1985-01-09,29,"Spain","Crevillente","Defender",181,72
"Spain","Ra<U+00FA>l","Albiol Tortajada","Spain",1985-09-04,28,"Spain","Villamarchante","Defender",190,82
"Spain","Gerard","Piqu<U+00E9> Bernab<U+00E9>u","Spain",1987-02-02,27,"Spain","Barcelona","Defender",192,85
"Spain","C<U+00E9>sar","Azpilicueta Tanco","Spain",1989-08-28,24,"Spain","Pamplona","Defender",178,70
"Spain","Jordi","Alba Ramos","Spain",1989-03-21,25,"Spain","L'Hospitalet de Llobregat","Defender",172,69
"Spain","Alberto","Moreno P<U+00E9>rez","Spain",1992-07-05,21,"Spain","Sevilla","Defender",171,65
"Spain","Francesc","F<U+00E0>bregas i Soler","Spain",1987-05-04,27,"Spain","Vilassar de Mar","Midfielder",180,69
"Spain","Andr<U+00E9>s","Iniesta Luj<U+00E1>n","Spain",1984-05-11,30,"Spain","Albacete","Midfielder",170,65
"Spain","Xabier ","Alonso Olana","Spain",1981-11-25,32,"Spain","Tolosa","Midfielder",183,79
"Spain","Xavier","Hern<U+00E1>ndez Creus","Spain",1980-01-25,34,"Spain","Terrassa","Midfielder",170,68
"Spain","David Josu<U+00E9>","Jim<U+00E9>nez Silva","Spain",1986-01-08,28,"Spain","Arguinegu<U+00ED>n","Midfielder",170,67
"Spain","Javier","Mart<U+00ED>nez Aginaga","Spain",1988-09-02,25,"Spain","Estella","Midfielder",190,81
"Spain","Jes<U+00FA>s","Navas Gonz<U+00E1>lez","Spain",1985-11-21,28,"Spain","Los Palacios","Midfielder",170,60
"Spain","Santiago","Cazorla Gonz<U+00E1>lez","Spain",1984-12-13,29,"Spain","Lugo de Llanera","Midfielder",168,66
"Spain","Sergio","Busquets i Burgos","Spain",1988-07-16,25,"Spain","Sabadell","Midfielder",189,73
"Spain","Ander","Iturraspe Derteano","Spain",1989-03-08,25,"Spain","Abadino","Midfielder",187,74
"Spain","Thiago","Alc<U+00E2>ntara do Nascimiento","Spain",1991-04-11,23,"Italy","San Pietro Vernotico","Midfielder",172,70
"Spain","Jorge","Resurreci<U+00F3>n Merodio","Spain",1992-01-08,22,"Spain","Madrid","Midfielder",178,73
"Spain","Fernando Jos<U+00E9>","Torres Sanz","Spain",1984-03-20,30,"Spain","Fuenlabrada","Attacker",185,78
"Spain","<U+00C1>lvaro","Negredo S<U+00E1>nchez","Spain",1985-08-20,28,"Spain","Madrid","Attacker",186,85
"Spain","Juan Manuel","Mata Garc<U+00ED>a","Spain",1988-04-28,26,"Spain","Burgos","Attacker",170,63
"Spain","Diego","Da Silva Costa","Spain",1988-10-07,25,"Brazil","Lagarto","Attacker",186,78
"Spain","Pedro Eliezer","Rodr<U+00ED>guez Ledesma","Spain",1987-07-28,26,"Spain","Santa Cruz de Tenerife","Attacker",169,64
"Spain","Gerard","Deulofeu L<U+00E1>zaro","Spain",1994-03-13,20,"Spain","Riudarenes","Attacker",179,NA
"Netherlands","Michel","Vorm","Netherlands",1983-10-20,30,"Netherlands","Nieuwegein","Goalkeeper",183,84
"Netherlands","Tim","Krul","Netherlands",1988-04-03,26,"Netherlands","Den Haag","Goalkeeper",188,75
"Netherlands","Jeroen","Zoet","Netherlands",1991-01-06,23,"Netherlands","Veendam","Goalkeeper",186,NA
"Netherlands","Jasper","Cillessen","Netherlands",1989-04-22,25,"Netherlands","Groesbeek","Goalkeeper",187,82
"Netherlands","Paul","Verhaegh","Netherlands",1983-09-01,30,"Netherlands","Kronenberg","Defender",178,72
"Netherlands","Ron","Vlaar","Netherlands",1985-02-16,29,"Netherlands","Hensbroek","Defender",189,80
"Netherlands","Gregory","van der Wiel","Netherlands",1988-02-03,26,"Netherlands","Amsterdam","Defender",181,68
"Netherlands","Daryl","Janmaat","Netherlands",1989-07-22,24,"Netherlands","Leidschendam","Defender",185,80
"Netherlands","Daley","Blind","Netherlands",1990-03-09,24,"Netherlands","Amsterdam","Defender",182,68
"Netherlands","Patrick ","van Aanholt","Netherlands",1990-08-29,23,"Netherlands","'s-Hertogenbosch","Defender",175,NA
"Netherlands","Jo<U+00EB>l","Veltman","Netherlands",1992-01-15,22,"Netherlands","Velsen","Defender",182,NA
"Netherlands","Stefan","de Vrij","Netherlands",1992-02-05,22,"Netherlands","Ouderkerk aan den IJssel","Defender",188,78
"Netherlands","Bruno","Martins Indi","Netherlands",1992-02-08,22,"Portugal","Barreiro","Defender",185,76
"Netherlands","Karim","Rekik","Netherlands",1994-12-02,19,"Netherlands","Den Haag","Defender",184,NA
"Netherlands","Terence","Kongolo","Netherlands",1994-02-14,20,"Switzerland","Fribourg","Defender",183,70
"Netherlands","Arjen","Robben","Netherlands",1984-01-23,30,"Netherlands","Bedum","Midfielder",180,80
"Netherlands","Wesley","Sneijder","Netherlands",1984-06-09,29,"Netherlands","Utrecht","Midfielder",170,67
"Netherlands","Nigel","de Jong","Netherlands",1984-11-30,29,"Netherlands","Amsterdam","Midfielder",174,72
"Netherlands","Stijn","Schaars","Netherlands",1984-01-11,30,"Netherlands","Gendt","Midfielder",178,75
"Netherlands","Jonathan ","de Guzm<U+00E1>n","Netherlands",1987-09-13,26,"Canada","Scarborough","Midfielder",174,61
"Netherlands","Siem","de Jong","Netherlands",1989-01-28,25,"Switzerland","Aigle","Midfielder",185,76
"Netherlands","Leroy","Fer","Netherlands",1990-01-05,24,"Netherlands","Zoetermeer","Midfielder",188,79
"Netherlands","Kevin","Strootman","Netherlands",1990-02-13,24,"Netherlands","Ridderkerk","Midfielder",186,77
"Netherlands","Jordy","Clasie","Netherlands",1991-06-27,22,"Netherlands","Haarlem","Midfielder",169,68
"Netherlands","Davy","Klaassen","Netherlands",1993-02-21,21,"Netherlands","Hilversum","Midfielder",185,NA
"Netherlands","Quincy","Promes","Netherlands",1992-01-04,22,"Netherlands","Amsterdam","Midfielder",174,NA
"Netherlands","Dirk","Kuijt","Netherlands",1980-07-22,33,"Netherlands","Katwijk","Attacker",184,83
"Netherlands","Robin","van Persie","Netherlands",1983-08-06,30,"Netherlands","Rotterdam","Attacker",184,71
"Netherlands","Klaas-Jan","Huntelaar","Netherlands",1983-08-12,30,"Netherlands","Drempt","Attacker",186,78
"Netherlands","Jeremain","Lens","Netherlands",1987-11-24,26,"Netherlands","Amsterdam","Attacker",178,80
"Netherlands","Georginio","Wijnaldum","Netherlands",1990-11-11,23,"Netherlands","Rotterdam","Attacker",178,68
"Netherlands","Jean-Paul","Bo<U+00EB>tius","Netherlands",1994-03-22,20,"Netherlands","Rotterdam","Attacker",178,67
"Netherlands","Memphis","Depay","Netherlands",1994-02-13,20,"Netherlands","Moordrecht","Attacker",176,NA
"Chile","Claudio Andr<U+00E9>s","Bravo Mu<U+00F1>oz","Chile",1983-04-13,31,"Chile","Viluco","Goalkeeper",185,81
"Chile","Cristopher Benjam<U+00ED>n","Toselli R<U+00ED>os","Chile",1988-06-15,25,"Chile","Antofagasta","Goalkeeper",183,75
"Chile","Jhonny Cristi<U+00E1>n","Herrera Mu<U+00F1>oz","Chile",1981-05-09,33,"Chile","Nacimiento","Goalkeeper",184,85
"Chile","Paulo Andr<U+00E9>s","Garc<U+00E9>s Contreras","Chile",1984-08-02,29,"Chile","Parral","Goalkeeper",182,72
"Chile","Marcos Andr<U+00E9>s","Gonz<U+00E1>lez Salazar","Chile",1980-06-09,33,"Brazil","Rio De Janeiro","Defender",190,NA
"Chile","Gonzalo Alejandro","Jara Reyes","Chile",1985-08-29,28,"Chile","Santiago de Chile","Defender",178,77
"Chile","Osvaldo Alexis","Gonz<U+00E1>lez Sep<U+00FA>lveda","Chile",1984-08-10,29,"Chile","Concepci<U+00F3>n","Defender",182,NA
"Chile","Jos<U+00E9> Manuel","Rojas Bahamondes","Chile",1983-06-23,30,"Chile","Talagante","Defender",176,77
"Chile","Albert Alejandro","Acevedo Vergara","Chile",1983-05-06,31,"Chile","Santiago de Chile","Defender",176,77
"Chile","Cristian Andr<U+00E9>s","<U+00C1>lvarez Valenzuela","Chile",1980-01-20,34,"Chile","Curic<U+00F3>","Defender",176,70
"Chile","Miiko Mart<U+00ED>n","Albornoz Inola","Chile",1990-11-30,23,"Sweden","Stockholm","Defender",180,80
"Chile","Eugenio Esteban","Mena Reveco","Chile",1988-07-18,25,"Chile","Vi<U+00F1>a del Mar","Defender",175,68
"Chile","Enzo Pablo","And<U+00ED>a Roco","Chile",1992-08-16,21,"Chile","Ovalle","Defender",188,82
"Chile","Mark Dennis","Gonz<U+00E1>lez Hoffmann","Chile",1984-07-10,29,"South Africa","Durban","Midfielder",176,74
"Chile","Jorge Lu<U+00ED>s","Valdivia Toro","Chile",1983-10-19,30,"Venezuela","Maracaibo","Midfielder",173,71
"Chile","Mat<U+00ED>as Ariel","Fern<U+00E1>ndez Fern<U+00E1>ndez","Chile",1986-05-15,28,"Argentina","Buenos Aires","Midfielder",178,72
"Chile","Gonzalo Antonio","Fierro Caniull<U+00E1>n","Chile",1983-03-21,31,"Chile","Santiago de Chile","Midfielder",171,71
"Chile","Arturo Erasmo","Vidal Pardo","Chile",1987-05-22,27,"Chile","Santiago de Chile","Midfielder",180,75
"Chile","Mauricio An<U+00ED>bal","Isla Isla","Chile",1988-06-12,25,"Chile","Buin","Midfielder",177,72
"Chile","Braulio Antonio","Leal Salvo","Chile",1981-11-22,32,"Chile","Santiago de Chile","Midfielder",173,64
"Chile","Fabi<U+00E1>n Ariel","Orellana Valenzuela","Chile",1986-01-27,28,"Chile","Santiago de Chile","Midfielder",169,70
"Chile","Marcelo Alfonso","Diaz Rojas","Chile",1986-12-30,27,"Chile","Santiago de Chile","Midfielder",166,67
"Chile","Jos<U+00E9> Pedro","Fuenzalida Gana","Chile",1985-02-22,29,"Chile","Santiago de Chile","Midfielder",170,73
"Chile","Gary Alexis","Medel Soto","Chile",1987-08-03,26,"Chile","Santiago","Midfielder",172,74
"Chile","Francisco Andr<U+00E9>s","Silva Gajardo","Chile",1986-02-11,28,"Chile","Quillota","Midfielder",178,80
"Chile","Fernando Patricio","Cordero Fonseca","Chile",1987-08-26,26,"Chile","Santiago de Chile","Midfielder",172,NA
"Chile","Charles Mariano","Ar<U+00E1>nguiz Sandoval","Chile",1989-04-17,25,"Chile","Santiago de Chile","Midfielder",172,70
"Chile","Fernando Andr<U+00E9>s","Meneses Cornejo","Chile",1985-08-27,28,"Chile","Lontu<U+00E9>","Midfielder",174,NA
"Chile","Jean Andr<U+00E9> Emanuel","Beausejour Coliqueo","Chile",1984-06-01,30,"Chile","Santiago de Chile","Midfielder",178,81
"Chile","Carlos Emilio","Carmona Tello","Chile",1987-02-21,27,"Chile","Coquimbo","Midfielder",178,68
"Chile","Rodrigo Javier","Millar Carvajal","Chile",1981-11-03,32,"Chile","Arauco","Midfielder",183,75
"Chile","Pedro Pablo","Hern<U+00E1>ndez","Chile",1986-10-24,27,"Argentina","San Miguel de Tucum<U+00E1>n","Midfielder",185,82
"Chile","Esteban","Pavez Suazo","Chile",1990-05-01,24,"Chile","Santiago de Chile","Midfielder",NA,NA
"Chile","Felipe Alejandro","Guti<U+00E9>rrez Leiva","Chile",1990-10-08,23,"Chile","Quintero","Midfielder",170,NA
"Chile","Gonzalo Felipe","Barriga Ahumada","Chile",1984-07-21,29,"Chile",NA,"Midfielder",175,74
"Chile","C<U+00E9>sar Nicol<U+00E1>s","Fuentes Gonz<U+00E1>lez","Chile",1993-04-12,21,"Chile","Rancagua","Midfielder",170,74
"Chile","Mauricio Ricardo","Pinilla Ferreira","Chile",1984-02-04,30,"Chile","San Bernardo","Attacker",185,75
"Chile","Alexis Alejandro","S<U+00E1>nchez S<U+00E1>nchez","Chile",1988-12-19,25,"Chile","Tocopilla","Attacker",170,62
